(-50.01, 18.359999999999985, 24.0526)
(-77.64, 34.30999999999999, 24.0526)
(-22.37, 34.30999999999999, 24.0526)
(-50.01, 50.26999999999999, 24.0526)
(-77.64, 66.22, 24.0526)
(-22.37, 66.22, 24.0526)
(-50.01, 82.17999999999999, 24.0526)
(50.01, 82.17, 24.0526)
(77.64, 66.22, 24.0526)
(22.37, 66.22, 24.0526)
(50.01, 50.260000000000005, 24.0526)
(77.64, 34.31, 24.0526)
(22.37, 34.31, 24.0526)
(50.01, 18.349999999999998, 24.0526)
(50.01, -18.359999999999985, 24.0526)
(77.64, -34.30999999999999, 24.0526)
(22.37, -34.30999999999999, 24.0526)
(50.01, -50.26999999999999, 24.0526)
(77.64, -66.22, 24.0526)
(22.37, -66.22, 24.0526)
(50.01, -82.17999999999999, 24.0526)
(-50.01, -82.17, 24.0526)
(-77.64, -66.22, 24.0526)
(-22.37, -66.22, 24.0526)
(-50.01, -50.260000000000005, 24.0526)
(-77.64, -34.31, 24.0526)
(-22.37, -34.31, 24.0526)
(-50.01, -18.349999999999998, 24.0526)
(-50.01, 18.359999999999985, 51.205200000000005)
(-77.64, 34.30999999999999, 51.205200000000005)
(-22.37, 34.30999999999999, 51.205200000000005)
(-50.01, 50.26999999999999, 51.205200000000005)
(-77.64, 66.22, 51.205200000000005)
(-22.37, 66.22, 51.205200000000005)
(-50.01, 82.17999999999999, 51.205200000000005)
(50.01, 82.17, 51.205200000000005)
(77.64, 66.22, 51.205200000000005)
(22.37, 66.22, 51.205200000000005)
(50.01, 50.260000000000005, 51.205200000000005)
(77.64, 34.31, 51.205200000000005)
(22.37, 34.31, 51.205200000000005)
(50.01, 18.349999999999998, 51.205200000000005)
(50.01, -18.359999999999985, 51.205200000000005)
(77.64, -34.30999999999999, 51.205200000000005)
(22.37, -34.30999999999999, 51.205200000000005)
(50.01, -50.26999999999999, 51.205200000000005)
(77.64, -66.22, 51.205200000000005)
(22.37, -66.22, 51.205200000000005)
(50.01, -82.17999999999999, 51.205200000000005)
(-50.01, -82.17, 51.205200000000005)
(-77.64, -66.22, 51.205200000000005)
(-22.37, -66.22, 51.205200000000005)
(-50.01, -50.260000000000005, 51.205200000000005)
(-77.64, -34.31, 51.205200000000005)
(-22.37, -34.31, 51.205200000000005)
(-50.01, -18.349999999999998, 51.205200000000005)
(-50.01, 18.359999999999985, 78.3578)
(-77.64, 34.30999999999999, 78.3578)
(-22.37, 34.30999999999999, 78.3578)
(-50.01, 50.26999999999999, 78.3578)
(-77.64, 66.22, 78.3578)
(-22.37, 66.22, 78.3578)
(-50.01, 82.17999999999999, 78.3578)
(50.01, 82.17, 78.3578)
(77.64, 66.22, 78.3578)
(22.37, 66.22, 78.3578)
(50.01, 50.260000000000005, 78.3578)
(77.64, 34.31, 78.3578)
(22.37, 34.31, 78.3578)
(50.01, 18.349999999999998, 78.3578)
(50.01, -18.359999999999985, 78.3578)
(77.64, -34.30999999999999, 78.3578)
(22.37, -34.30999999999999, 78.3578)
(50.01, -50.26999999999999, 78.3578)
(77.64, -66.22, 78.3578)
(22.37, -66.22, 78.3578)
(50.01, -82.17999999999999, 78.3578)
(-50.01, -82.17, 78.3578)
(-77.64, -66.22, 78.3578)
(-22.37, -66.22, 78.3578)
(-50.01, -50.260000000000005, 78.3578)
(-77.64, -34.31, 78.3578)
(-22.37, -34.31, 78.3578)
(-50.01, -18.349999999999998, 78.3578)
(-50.01, 18.359999999999985, 105.51039999999999)
(-77.64, 34.30999999999999, 105.51039999999999)
(-22.37, 34.30999999999999, 105.51039999999999)
(-50.01, 50.26999999999999, 105.51039999999999)
(-77.64, 66.22, 105.51039999999999)
(-22.37, 66.22, 105.51039999999999)
(-50.01, 82.17999999999999, 105.51039999999999)
(50.01, 82.17, 105.51039999999999)
(77.64, 66.22, 105.51039999999999)
(22.37, 66.22, 105.51039999999999)
(50.01, 50.260000000000005, 105.51039999999999)
(77.64, 34.31, 105.51039999999999)
(22.37, 34.31, 105.51039999999999)
(50.01, 18.349999999999998, 105.51039999999999)
(50.01, -18.359999999999985, 105.51039999999999)
(22.37, -34.30999999999999, 105.51039999999999)
(77.64, -34.30999999999999, 105.51039999999999)
(50.01, -50.26999999999999, 105.51039999999999)
(77.64, -66.22, 105.51039999999999)
(22.37, -66.22, 105.51039999999999)
(50.01, -82.17999999999999, 105.51039999999999)
(-50.01, -18.349999999999998, 105.51039999999999)
(-22.37, -34.31, 105.51039999999999)
(-77.64, -34.31, 105.51039999999999)
(-50.01, -50.260000000000005, 105.51039999999999)
(-77.64, -66.22, 105.51039999999999)
(-22.37, -66.22, 105.51039999999999)
(-50.01, -82.17, 105.51039999999999)
(-73.9, 26.36999999999999, 132.663)
(-26.1, 26.36999999999999, 132.663)
(-73.9, 74.16999999999999, 132.663)
(-26.1, 74.16999999999999, 132.663)
(73.9, 74.16, 132.663)
(26.1, 74.16, 132.663)
(73.9, 26.36, 132.663)
(26.1, 26.36, 132.663)
(73.9, -26.36999999999999, 132.663)
(26.1, -26.36999999999999, 132.663)
(73.9, -74.16999999999999, 132.663)
(26.1, -74.16999999999999, 132.663)
(-50.01, -18.349999999999998, 132.663)
(-22.37, -34.31, 132.663)
(-77.64, -34.31, 132.663)
(-50.01, -50.260000000000005, 132.663)
(-73.9, 74.16999999999999, 159.81560000000002)
(-26.1, 74.16999999999999, 159.81560000000002)
(-73.9, 26.36999999999999, 159.81560000000002)
(-26.1, 26.36999999999999, 159.81560000000002)
(73.9, 74.16, 159.81560000000002)
(26.1, 74.16, 159.81560000000002)
